px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.46292	0.243462	3.04035	0	0	8.46292	0.243462	8.6	0.25	-3.00029	0	0
8.45053	0.251376	3.03512	0.000681892	2.98284e-05	8.44818	0.251553	8.45	0.25	-3.00027	0	0.0113412
8.47594	0.246558	2.53563	-0.0346228	-0.0043951	8.56759	0.241943	8.45	0.25	0	0	1.06328
8.49921	0.250317	2.46213	-0.0123547	-0.0017505	8.45582	0.253997	8.45	0.25	0	0	0.188905
8.3666	0.233637	0.215533	-0.129134	-0.0383977	8.42544	0.254042	8.35	0.25	-1.81979	0	11.7251
8.31887	0.241402	0.133169	-0.0963314	-0.0309105	8.23962	0.24916	8.25	0.25	-1.81978	0	0.484789
8.02022	0.262621	-2.77905	-0.0827047	-0.0261057	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994	45.1911
7.8858	0.246947	-2.7946	-0.0416606	0.0635201	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993	0.562087
7.71225	0.223193	-2.90203	0.135683	0.209261	7.61269	0.155818	7.7	0.15	-2.99982	0	1.66859
7.57924	0.181807	-2.91724	0.226726	0.276393	7.54016	0.159641	7.55	0.15	-2.99982	0	0.137451
7.47908	0.0690143	-2.80369	0.490816	0.516726	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239	1.27382
7.34821	0.0186472	-2.79843	0.477183	0.481016	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823	0.0282967
7.18572	0.02423	-2.83853	0.323722	0.156728	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507	0.832359
7.04439	-0.0372681	-2.84419	0.347971	0.16883	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499	0.0251744
6.94454	-0.163789	-2.74157	0.566848	0.829341	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898	6.2217
6.82779	-0.252018	-2.74017	0.620917	0.843119	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897	0.0307253
6.71743	-0.334957	-2.74524	0.662606	0.836791	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075	0.0333677
6.61878	-0.433877	-2.75152	0.719375	0.855923	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075	0.0866503
6.57572	-0.602734	-2.76774	1.02303	1.58254	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769	4.73501
6.51729	-0.705888	-2.74347	1.09417	1.58284	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769	0.274063
6.47218	-0.863111	-2.76476	1.25661	1.76817	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498	0.526734
6.43726	-1.01801	-2.77105	1.36039	1.77204	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494	0.0904793
6.32153	-1.10827	-2.68649	1.19664	1.20289	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898	10.827
6.26918	-1.24762	-2.68889	1.26069	1.19917	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896	0.0112769
6.35921	-1.44316	-2.74881	1.60726	1.74944	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894	21.0605
6.36964	-1.60373	-2.76112	1.70276	1.7428	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891	0.151202
6.30012	-1.71075	-2.67496	1.59719	1.38784	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985	16.5257
6.2948	-1.86154	-2.69704	1.65631	1.36688	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847	0.556521
6.34239	-2.0126	-2.73575	1.78544	1.46927	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994	2.7412
6.36844	-2.15935	-2.75202	1.85173	1.45552	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994	0.357394
6.35585	-2.30159	-2.70958	1.83688	1.29975	6.32593	-2.40018	6.35	-2.4	0	-2.72613	7.54261
6.3867	-2.46139	-2.7276	1.89571	1.2806	6.34927	-2.55175	6.35	-2.55	0	-2.72611	0.518876
6.43359	-2.61066	-2.73592	1.95944	1.27029	6.43125	-2.71878	6.4	-2.7	0.909499	-2.72851	0.274559
6.47914	-2.76438	-2.7507	2.01411	1.25051	6.43257	-2.84245	6.45	-2.85	0.909503	-2.72851	0.459369
6.49361	-2.89233	-2.71594	2.01153	1.15075	6.46536	-3.00452	6.45	-3	0	-2.99754	5.83131
6.5268	-3.03909	-2.73472	2.04286	1.11919	6.44119	-3.14955	6.45	-3.15	0	-2.99754	1.10194
6.58539	-3.18339	-2.74136	2.0895	1.09989	6.52249	-3.32007	6.5	-3.3	0.910402	-2.7312	0.549135
6.63303	-3.3405	-2.75891	2.12053	1.06598	6.5453	-3.45745	6.55	-3.45	0.910402	-2.7312	1.22031
6.71793	-3.47998	-2.78109	2.18451	1.0784	6.6358	-3.59197	6.65	-3.6	1.81722	-2.72583	1.14939
6.79104	-3.62992	-2.79822	2.22219	1.0526	6.76011	-3.75457	6.75	-3.75	1.81721	-2.72581	0.912474
6.86191	-3.76096	-2.78324	2.24983	1.01	6.83625	-3.92723	6.8	-3.9	0.907988	-2.72396	2.16525
6.92973	-3.91467	-2.80014	2.27126	0.971128	6.85997	-4.05805	6.85	-4.05	0.907976	-2.72393	1.46619
6.9999	-4.04289	-2.78156	2.29081	0.925999	6.86943	-4.18507	6.9	-4.2	0.909334	-2.72801	2.59239
7.05878	-4.19997	-2.79466	2.2959	0.875355	6.94332	-4.34473	6.95	-4.35	0.90933	-2.72799	2.0422
7.11405	-4.32264	-2.7442	2.29151	0.800782	7.05156	-4.49706	7	-4.45	0.910054	-1.8201	11.2885
7.17275	-4.46765	-2.74712	2.29515	0.757423	7.04099	-4.55018	7.05	-4.55	0.910054	-1.8201	1.45159
7.24586	-4.58906	-2.72579	2.30773	0.719085	7.10252	-4.67934	7.1	-4.7	0.908302	-2.72489	2.32243
7.29664	-4.7441	-2.73012	2.29595	0.663584	7.14735	-4.86125	7.15	-4.85	0.908297	-2.72489	2.18593
7.40043	-4.87131	-2.75571	2.33237	0.669278	7.3138	-5.05204	7.25	-5	1.81907	-2.72861	2.31167
7.45313	-5.02874	-2.75967	2.31477	0.610442	7.30424	-5.15404	7.35	-5.15	1.81907	-2.72861	2.31578
7.52973	-5.15152	-2.7447	2.32245	0.57905	7.29446	-5.23429	7.4	-5.3	0.908194	-2.7246	1.62677
7.58177	-5.31373	-2.75007	2.29821	0.51813	7.44737	-5.45308	7.45	-5.45	0.90819	-2.72457	2.31301
7.66984	-5.43798	-2.74647	2.31019	0.497964	7.63082	-5.61863	7.55	-5.55	1.81974	-1.81974	0.67633
7.73703	-5.58273	-2.74863	2.3001	0.45753	7.64356	-5.66706	7.65	-5.65	1.81972	-1.81972	0.983757
7.81384	-5.70274	-2.73199	2.30297	0.430086	7.60376	-5.74774	7.7	-5.8	0.90983	-2.72951	1.44914
7.86665	-5.85721	-2.73256	2.27716	0.377056	7.7342	-5.95374	7.75	-5.95	0.909826	-2.72948	1.66978
7.97805	-5.97072	-2.77746	2.3159	0.410965	7.82165	-6.06822	7.85	-6.1	1.9986	-2.9979	9.12889
8.03563	-6.11632	-2.78457	2.29273	0.363761	7.95703	-6.24328	7.95	-6.25	1.99858	-2.99787	1.37412
8.128	-6.24039	-2.78009	2.29937	0.34672	8.17338	-6.44684	8.05	-6.35	1.81738	-1.81739	0.928638
8.20725	-6.38028	-2.78402	2.29154	0.317787	8.15891	-6.45335	8.15	-6.45	1.81737	-1.81737	0.479322
8.2888	-6.49992	-2.7703	2.29221	0.297356	8.08628	-6.51855	8.2	-6.6	0.909293	-2.72787	1.01285
8.34961	-6.65374	-2.77332	2.26531	0.25123	8.25411	-6.74791	8.25	-6.75	0.909293	-2.72787	1.14094
8.43686	-6.77462	-2.77029	2.2706	0.242171	8.25648	-6.78122	8.35	-6.85	1.81994	-1.81993	0.362085
8.50994	-6.91269	-2.7707	2.25829	0.215051	8.44494	-6.95805	8.45	-6.95	1.81993	-1.81993	0.398196
8.58235	-7.02288	-2.76074	2.25644	0.199882	8.39359	-7.01743	8.5	-7.1	1.00006	-3.00018	0.623017
8.63433	-7.16364	-2.76359	2.22905	0.160393	8.54925	-7.24433	8.55	-7.25	1.00006	-3.00018	0.870361
8.74062	-7.2789	-2.79884	2.2562	0.191365	8.64403	-7.39047	8.65	-7.4	1.99807	-2.99712	6.12327
8.79605	-7.42659	-2.80683	2.227	0.150464	8.73559	-7.5421	8.75	-7.55	1.99808	-2.99712	1.0508
8.86193	-7.55598	-2.7792	2.20612	0.110037	8.87176	-7.71912	8.8	-7.65	0.909955	-1.8199	5.27721
8.92238	-7.70381	-2.78027	2.18246	0.0788031	8.84538	-7.75497	8.85	-7.75	0.909946	-1.81988	0.54139
8.99978	-7.82179	-2.78486	2.18447	0.0785865	8.88333	-7.88636	8.9	-7.9	0.999086	-2.9973	0.279135
9.04473	-7.96661	-2.78803	2.15314	0.0416918	8.95966	-8.0381	8.95	-8.05	0.999095	-2.9973	0.781811
9.08287	-8.09843	-2.74826	2.11334	-0.0170436	8.8564	-8.01424	9	-8.15	0.909309	-1.8186	7.56416
9.13645	-8.23987	-2.74519	2.09252	-0.0378959	9.05896	-8.24314	9.05	-8.25	0.909301	-1.81859	0.352095
9.21087	-8.36185	-2.75506	2.09665	-0.0274524	9.17781	-8.47056	9.1	-8.4	1.0004	-3.00119	0.49077
9.24559	-8.50465	-2.75631	2.06435	-0.059492	9.15332	-8.54857	9.15	-8.55	1.00038	-3.00117	0.650682
9.28023	-8.64551	-2.73012	2.02211	-0.114934	9.22922	-8.6898	9.2	-8.65	0.909508	-1.819	4.66758
9.32318	-8.78691	-2.7256	1.9996	-0.131937	9.24541	-8.76863	9.25	-8.75	0.9095	-1.81899	0.353714
9.47047	-8.89846	-2.7924	2.09498	0.0187752	9.37748	-9.00609	9.35	-8.95	1.99965	-3.99928	31.8848
9.50765	-9.05101	-2.80268	2.06323	-0.0142481	9.44703	-9.15328	9.45	-9.15	1.99964	-3.99928	0.861504
9.55015	-9.17862	-2.78646	2.0379	-0.049101	9.50096	-9.25642	9.5	-9.25	0.999584	-1.99917	2.11401
9.59217	-9.31739	-2.78943	2.01712	-0.0678411	9.54157	-9.35195	9.55	-9.35	0.999584	-1.99917	0.235109
9.62707	-9.44551	-2.77424	1.98966	-0.101302	9.47534	-9.42627	9.55	-9.5	0	-3.00023	1.55455
9.64545	-9.59645	-2.77894	1.95188	-0.134793	9.54779	-9.64959	9.55	-9.65	0	-3.0002	0.76991
9.71236	-9.72802	-2.7928	1.96166	-0.109194	9.69942	-9.88416	9.6	-9.8	0.999005	-2.997	1.17215
9.73136	-9.87939	-2.79847	1.9269	-0.138973	9.64606	-9.9341	9.65	-9.95	0.998995	-2.997	0.638494
9.74468	-10.0266	-2.77656	1.87841	-0.197362	9.60087	-9.96395	9.7	-10.05	0.909855	-1.81969	3.68508
9.77994	-10.1706	-2.77259	1.86141	-0.203988	9.73801	-10.1396	9.75	-10.15	0.909847	-1.81969	0.140958
9.81765	-10.308	-2.77413	1.84638	-0.211654	9.92627	-10.4745	9.75	-10.3	0	-3.00065	0.536328
9.8284	-10.4536	-2.77678	1.81507	-0.232541	9.75524	-10.4732	9.75	-10.45	0	-3.00063	0.350631
9.87175	-10.5985	-2.7802	1.81458	-0.212753	9.71825	-10.5087	9.8	-10.6	0.90817	-2.72451	0.848276
9.89321	-10.7518	-2.78074	1.79201	-0.223706	9.85048	-10.7526	9.85	-10.75	0.908161	-2.72448	0.108775
9.89486	-10.9036	-2.76814	1.74495	-0.274727	9.88465	-10.9383	9.85	-10.9	0	-2.73074	2.17171
9.89979	-11.0569	-2.76717	1.7155	-0.289331	9.83614	-11.041	9.85	-11.05	0	-2.73073	0.245582
9.91452	-11.1932	-2.76597	1.69805	-0.292755	9.83952	-11.1692	9.85	-11.2	0	-2.99965	0.0628377
9.90888	-11.3381	-2.76893	1.66713	-0.308756	9.84568	-11.3496	9.85	-11.35	0	-2.99961	0.249518
9.92215	-11.4778	-2.77135	1.65323	-0.305664	9.87961	-11.5637	9.85	-11.5	0	-2.99843	0.0657976
9.90738	-11.6232	-2.77453	1.61996	-0.323248	9.83206	-11.6307	9.85	-11.65	0	-2.99843	0.340925
9.82604	-11.7627	-2.74985	1.5006	-0.478728	9.85311	-11.8523	9.8	-11.75	-1.0003	-2.00061	16.2732
9.80169	-11.8949	-2.7453	1.46825	-0.487693	9.74928	-11.8442	9.75	-11.85	-1.00029	-2.00059	0.27675
